dt,confirmed,recovered,deceased,active
17-Mar-2020,0,0,0,0
18-Mar-2020,0,0,0,0
03-May-2020,0,1,0,0
07-May-2020,0,5,0,0
06-May-2020,0,7,0,0
01-May-2020,0,9,0,0
19-Mar-2020,1,0,0,0
15-Apr-2020,1,7,0,0
09-May-2020,2,1,0,0
02-May-2020,2,8,0,0
16-Mar-2020,3,0,0,0
05-May-2020,3,0,0,0
18-Apr-2020,4,2,0,0
28-Apr-2020,4,4,0,0
15-Mar-2020,5,0,0,0
12-May-2020,5,0,0,0
28-Mar-2020,6,1,1,0
11-May-2020,7,0,0,0
10-May-2020,7,4,0,0
31-Mar-2020,7,4,1,2
25-Apr-2020,7,7,0,2
05-Apr-2020,8,6,0,4
25-Mar-2020,9,0,0,13
04-May-2020,0,61,0,0
13-May-2020,10,1,0,0
23-Apr-2020,10,8,0,0
17-Apr-2020,1,10,0,0
08-May-2020,1,10,0,0
22-Apr-2020,11,1,0,0
26-Apr-2020,11,4,0,0
16-May-2020,11,4,0,0
04-Apr-2020,11,8,0,0
20-Mar-2020,12,0,0,0
21-Mar-2020,12,0,0,0
19-May-2020,12,0,0,8
06-Apr-2020,13,3,0,18
17-May-2020,14,0,0,32
24-Mar-2020,14,1,0,45
22-Mar-2020,15,0,0,60
15-May-2020,16,0,0,76
14-Mar-2020,19,3,0,92
26-Mar-2020,19,7,0,104
29-Mar-2020,20,4,0,120
02-Apr-2020,21,2,0,139
19-Apr-2020,2,13,0,128
30-Apr-2020,2,14,0,116
12-Apr-2020,2,36,0,82
01-Apr-2020,24,2,0,104
20-May-2020,24,5,0,123
21-May-2020,24,8,0,139
14-May-2020,26,3,0,162
23-Mar-2020,28,0,0,190
18-May-2020,29,0,0,219
24-Apr-2020,3,15,1,206
13-Apr-2020,3,19,0,190
30-Mar-2020,32,4,0,218
27-Mar-2020,39,0,0,257
22-May-2020,42,2,1,296
24-May-2020,53,5,1,343
20-Apr-2020,6,21,0,328
23-May-2020,62,3,0,387
10-Apr-2020,7,27,0,367
16-Apr-2020,7,27,0,347
14-Apr-2020,8,13,0,342
28-May-2020,85,3,1,423
07-Apr-2020,9,12,0,420
08-Apr-2020,9,13,0,416
03-Apr-2020,9,14,0,411
29-Apr-2020,10,10,0,411
11-Apr-2020,10,19,1,401
09-Apr-2020,12,13,0,400
27-Apr-2020,13,13,0,400
21-Apr-2020,19,16,0,403
27-May-2020,40,10,0,433
25-May-2020,49,12,0,470
14-Jun-2020,54,56,0,468
01-Jun-2020,57,18,1,506
30-May-2020,58,10,1,553
31-May-2020,61,15,0,599
29-May-2020,62,10,1,650
10-Jun-2020,65,57,1,657
26-May-2020,67,10,1,713
17-Jun-2020,75,90,0,698
12-Jun-2020,78,32,1,743
16-Jun-2020,79,60,0,762
03-Jun-2020,82,24,0,820
15-Jun-2020,82,73,1,828
11-Jun-2020,83,62,1,848
13-Jun-2020,85,46,0,887
02-Jun-2020,86,19,1,953
08-Jun-2020,91,11,1,1032
09-Jun-2020,91,34,0,1089
04-Jun-2020,94,39,3,1141
18-Jun-2020,97,89,1,1148
07-Jun-2020,107,41,0,1214
06-Jun-2020,108,50,1,1271
05-Jun-2020,111,22,0,1360
28-Jun-2020,118,42,0,1436
19-Jun-2020,118,96,0,1458
